Datetime,PJM_Load_MW,Consumption
1999-04-25,25969.214285714286,Basso
1999-05-02,24934.27380952381,Basso
1999-05-09,25545.488095238095,Basso
1999-05-16,25454.684523809523,Basso
1999-05-23,26310.654761904763,Basso
1999-05-30,26849.785714285714,Basso
1999-06-06,30381.041666666668,Alto
1999-06-13,32480.095238095237,Alto
1999-06-20,28360.89880952381,Basso
1999-06-27,31695.261904761905,Alto
1999-07-04,36826.97619047619,Alto
1999-07-11,37261.916666666664,Alto
1999-07-18,33772.21428571428,Alto
1999-07-25,38323.61309523809,Alto
1999-08-01,39138.583333333336,Alto
1999-08-08,34858.97023809524,Alto
1999-08-15,34516.416666666664,Alto
1999-08-22,32761.309523809523,Alto
1999-08-29,32635.625,Alto
1999-09-05,29184.23214285714,Basso
1999-09-12,32364.684523809523,Alto
1999-09-19,27787.869047619046,Basso
1999-09-26,26757.51785714286,Basso
1999-10-03,27518.363095238095,Basso
1999-10-10,26554.261904761905,Basso
1999-10-17,26338.303571428572,Basso
1999-10-24,26730.375,Basso
1999-10-31,26818.79640718563,Basso
1999-11-07,27084.26785714286,Basso
1999-11-14,27222.815476190477,Basso
1999-11-21,28271.196428571428,Basso
1999-11-28,25400.738095238095,Basso
1999-12-05,29551.666666666668,Basso
1999-12-12,28509.244047619046,Basso
1999-12-19,30331.85119047619,Alto
1999-12-26,30889.565476190477,Alto
2000-01-02,29260.839285714286,Basso
2000-01-09,29232.720238095237,Basso
2000-01-16,31277.01785714286,Alto
2000-01-23,35861.77380952381,Alto
2000-01-30,34762.583333333336,Alto
2000-02-06,33120.86309523809,Alto
2000-02-13,31792.863095238095,Alto
2000-02-20,30956.494047619046,Alto
2000-02-27,28688.52380952381,Basso
2000-03-05,28370.321428571428,Basso
2000-03-12,27200.464285714286,Basso
2000-03-19,28492.410714285714,Basso
2000-03-26,27845.654761904763,Basso
2000-04-02,26771.730538922155,Basso
2000-04-09,26640.559523809523,Basso
2000-04-16,26987.10714285714,Basso
2000-04-23,26382.85119047619,Basso
2000-04-30,26188.970238095237,Basso
2000-05-07,27772.29761904762,Basso
2000-05-14,30885.130952380954,Alto
2000-05-21,27023.970238095237,Basso
2000-05-28,26655.255952380954,Basso
2000-06-04,28061.119047619046,Basso
2000-06-11,31062.619047619046,Alto
2000-06-18,32556.535714285714,Alto
2000-06-25,33544.60119047619,Alto
2000-07-02,33753.42261904762,Alto
2000-07-09,31527.464285714286,Alto
2000-07-16,32646.285714285714,Alto
2000-07-23,31732.52380952381,Alto
2000-07-30,31306.571428571428,Alto
2000-08-06,34699.96428571428,Alto
2000-08-13,35924.28571428572,Alto
2000-08-20,30122.434523809523,Alto
2000-08-27,30649.73214285714,Alto
2000-09-03,34752.73809523809,Alto
2000-09-10,29485.803571428572,Basso
2000-09-17,30649.315476190477,Alto
2000-09-24,28677.696428571428,Basso
2000-10-01,26732.98214285714,Basso
2000-10-08,27617.095238095237,Basso
2000-10-15,27140.10714285714,Basso
2000-10-22,26834.25,Basso
2000-10-29,27004.353293413173,Basso
2000-11-05,27354.571428571428,Basso
2000-11-12,27442.25,Basso
2000-11-19,29205.35119047619,Basso
2000-11-26,30259.208333333332,Alto
2000-12-03,30499.815476190477,Alto
2000-12-10,32769.22619047619,Alto
2000-12-17,32087.166666666668,Alto
2000-12-24,34525.14880952381,Alto
2000-12-31,33694.51190476191,Alto
2001-01-07,33368.15476190476,Alto
2001-01-14,32570.029761904763,Alto
2001-01-21,32052.160714285714,Alto
2001-01-28,33005.10119047619,Alto
2001-02-04,31550.059523809523,Alto
2001-02-11,30747.434523809523,Alto
2001-02-18,31063.970238095237,Alto
2001-02-25,31650.541666666668,Alto
2001-03-04,30169.67261904762,Alto
2001-03-11,30986.970238095237,Alto
2001-03-18,29192.77380952381,Basso
2001-03-25,29354.22619047619,Basso
2001-04-01,29939.239520958083,Alto
2001-04-08,27947.821428571428,Basso
2001-04-15,25956.428571428572,Basso
2001-04-22,27267.589285714286,Basso
2001-04-29,26862.059523809523,Basso
2001-05-06,29052.363095238095,Basso
2001-05-13,27658.244047619046,Basso
2001-05-20,26610.958333333332,Basso
2001-05-27,27041.345238095237,Basso
2001-06-03,26082.791666666668,Basso
2001-06-10,28562.70238095238,Basso
2001-06-17,34727.666666666664,Alto
2001-06-24,34229.541666666664,Alto
2001-07-01,37618.541666666664,Alto
2001-07-08,29266.07738095238,Basso
2001-07-15,32718.57738095238,Alto
2001-07-22,33483.267857142855,Alto
2001-07-29,35323.11309523809,Alto
2001-08-05,34075.71428571428,Alto
2001-08-12,40900.14880952381,Alto
2001-08-19,35203.80952380953,Alto
2001-08-26,34109.833333333336,Alto
2001-09-02,34156.71428571428,Alto
2001-09-09,30648.065476190477,Alto
2001-09-16,29711.720238095237,Basso
2001-09-23,29192.845238095237,Basso
2001-09-30,27340.26785714286,Basso
2001-10-07,27260.113095238095,Basso
2001-10-14,27098.755952380954,Basso
2001-10-21,26821.01785714286,Basso
2001-10-28,27658.63473053892,Basso
2001-11-04,27171.654761904763,Basso
2001-11-11,27016.833333333332,Basso
2001-11-18,27719.321428571428,Basso
2001-11-25,26718.839285714286,Basso
2001-12-02,27422.386904761905,Basso
2001-12-09,28406.57738095238,Basso
2001-12-16,29729.95238095238,Basso
2001-12-23,30421.17261904762,Alto
2001-12-30,30328.083333333332,Alto
2002-01-06,32563.88,Alto
