Datetime,EKPC_MW,Consumption
2016-03-20,1217.7559523809523,Basso
2016-03-27,1285.1845238095239,Basso
2016-04-03,1219.4404761904761,Basso
2016-04-10,1402.3333333333333,Basso
2016-04-17,1191.107142857143,Basso
2016-04-24,1157.5892857142858,Basso
2016-05-01,1190.922619047619,Basso
2016-05-08,1163.4880952380952,Basso
2016-05-15,1196.8988095238096,Basso
2016-05-22,1166.3511904761904,Basso
2016-05-29,1314.0714285714287,Basso
2016-06-05,1415.1488095238096,Basso
2016-06-12,1393.595238095238,Basso
2016-06-19,1535.0714285714287,Alto
2016-06-26,1585.8988095238096,Alto
2016-07-03,1438.7142857142858,Basso
2016-07-10,1471.3095238095239,Alto
2016-07-17,1575.595238095238,Alto
2016-07-24,1702.517857142857,Alto
2016-07-31,1630.8095238095239,Alto
2016-08-07,1598.4880952380952,Alto
2016-08-14,1708.9166666666667,Alto
2016-08-21,1534.654761904762,Alto
2016-08-28,1580.172619047619,Alto
2016-09-04,1414.9166666666667,Basso
2016-09-11,1532.0238095238096,Alto
2016-09-18,1419.797619047619,Basso
2016-09-25,1444.2261904761904,Basso
2016-10-02,1115.7142857142858,Basso
2016-10-09,1166.404761904762,Basso
2016-10-16,1114.577380952381,Basso
2016-10-23,1200.279761904762,Basso
2016-10-30,1158.357142857143,Basso
2016-11-06,1166.8343195266273,Basso
2016-11-13,1305.6785714285713,Basso
2016-11-20,1374.8988095238096,Basso
2016-11-27,1497.7619047619048,Alto
2016-12-04,1464.952380952381,Alto
2016-12-11,1756.0892857142858,Alto
2016-12-18,1854.172619047619,Alto
2016-12-25,1762.8809523809523,Alto
2017-01-01,1505.279761904762,Alto
2017-01-08,1961.482142857143,Alto
2017-01-15,1599.0119047619048,Alto
2017-01-22,1357.9583333333333,Basso
2017-01-29,1650.6011904761904,Alto
2017-02-05,1704.25,Alto
2017-02-12,1478.029761904762,Alto
2017-02-19,1469.547619047619,Alto
2017-02-26,1290.595238095238,Basso
2017-03-05,1457.875,Basso
2017-03-12,1415.3832335329341,Basso
2017-03-19,1704.4345238095239,Alto
2017-03-26,1283.845238095238,Basso
2017-04-02,1204.8333333333333,Basso
2017-04-09,1228.2738095238096,Basso
2017-04-16,1175.392857142857,Basso
2017-04-23,1195.875,Basso
2017-04-30,1249.357142857143,Basso
2017-05-07,1191.3511904761904,Basso
2017-05-14,1218.279761904762,Basso
2017-05-21,1401.9940476190477,Basso
2017-05-28,1213.8511904761904,Basso
2017-06-04,1349.6309523809523,Basso
2017-06-11,1279.2916666666667,Basso
2017-06-18,1552.327380952381,Alto
2017-06-25,1419.982142857143,Basso
2017-07-02,1432.4345238095239,Basso
2017-07-09,1433.4464285714287,Basso
2017-07-16,1626.8809523809523,Alto
2017-07-23,1707.0238095238096,Alto
2017-07-30,1529.7619047619048,Alto
2017-08-06,1423.6904761904761,Basso
2017-08-13,1414.7738095238096,Basso
2017-08-20,1588.4166666666667,Alto
2017-08-27,1394.345238095238,Basso
2017-09-03,1276.202380952381,Basso
2017-09-10,1199.3333333333333,Basso
2017-09-17,1218.077380952381,Basso
2017-09-24,1433.9880952380952,Basso
2017-10-01,1277.0238095238096,Basso
2017-10-08,1255.9583333333333,Basso
2017-10-15,1220.3630952380952,Basso
2017-10-22,1143.077380952381,Basso
2017-10-29,1276.375,Basso
2017-11-05,1260.7218934911243,Basso
2017-11-12,1402.5357142857142,Basso
2017-11-19,1476.3035714285713,Alto
2017-11-26,1551.3035714285713,Alto
2017-12-03,1403.642857142857,Basso
2017-12-10,1796.095238095238,Alto
2017-12-17,1827.3869047619048,Alto
2017-12-24,1490.7083333333333,Alto
2017-12-31,2172.9583333333335,Alto
2018-01-07,2629.2678571428573,Alto
2018-01-14,1867.470238095238,Alto
2018-01-21,2201.1309523809523,Alto
2018-01-28,1629.5059523809523,Alto
2018-02-04,1941.8869047619048,Alto
2018-02-11,1809.3154761904761,Alto
2018-02-18,1537.125,Alto
2018-02-25,1217.7738095238096,Basso
2018-03-04,1411.6488095238096,Basso
2018-03-11,1605.5928143712574,Alto
2018-03-18,1594.5714285714287,Alto
2018-03-25,1654.577380952381,Alto
2018-04-01,1307.732142857143,Basso
2018-04-08,1500.9107142857142,Alto
2018-04-15,1316.3392857142858,Basso
2018-04-22,1401.2738095238096,Basso
2018-04-29,1211.845238095238,Basso
2018-05-06,1225.517857142857,Basso
2018-05-13,1312.577380952381,Basso
2018-05-20,1423.595238095238,Basso
2018-05-27,1451.107142857143,Basso
2018-06-03,1467.9107142857142,Alto
2018-06-10,1431.720238095238,Basso
2018-06-17,1560.6369047619048,Alto
2018-06-24,1629.4880952380952,Alto
2018-07-01,1589.7261904761904,Alto
2018-07-08,1664.6011904761904,Alto
2018-07-15,1692.5416666666667,Alto
2018-07-22,1572.3035714285713,Alto
2018-07-29,1480.5,Alto
2018-08-05,1496.6288659793815,Alto
