Datetime,FE_MW,Consumption
2012-12-02,7705.803571428572,Basso
2012-12-09,7607.238095238095,Basso
2012-12-16,7890.333333333333,Alto
2012-12-23,7876.821428571428,Alto
2012-12-30,7478.9702380952385,Basso
2013-01-06,7956.25,Alto
2013-01-13,7728.636904761905,Basso
2013-01-20,8025.208333333333,Alto
2013-01-27,8802.744047619048,Alto
2013-02-03,8249.767857142857,Alto
2013-02-10,8312.363095238095,Alto
2013-02-17,8130.1547619047615,Alto
2013-02-24,8390.767857142857,Alto
2013-03-03,8177.7202380952385,Alto
2013-03-10,7855.389221556886,Alto
2013-03-17,7850.744047619048,Alto
2013-03-24,8171.309523809524,Alto
2013-03-31,7425.285714285715,Basso
2013-04-07,7444.261904761905,Basso
2013-04-14,7199.732142857143,Basso
2013-04-21,7026.4702380952385,Basso
2013-04-28,7045.196428571428,Basso
2013-05-05,6908.071428571428,Basso
2013-05-12,6916.833333333333,Basso
2013-05-19,7151.517857142857,Basso
2013-05-26,7617.964285714285,Basso
2013-06-02,7817.505952380952,Alto
2013-06-09,6931.708333333333,Basso
2013-06-16,7579.482142857143,Basso
2013-06-23,8273.119047619048,Alto
2013-06-30,8628.017857142857,Alto
2013-07-07,7862.726190476191,Alto
2013-07-14,8671.458333333334,Alto
2013-07-21,10185.672619047618,Alto
2013-07-28,7740.0297619047615,Basso
2013-08-04,7543.571428571428,Basso
2013-08-11,7920.666666666667,Alto
2013-08-18,7430.875,Basso
2013-08-25,8406.32142857143,Alto
2013-09-01,9043.327380952382,Alto
2013-09-08,7394.446428571428,Basso
2013-09-15,8118.416666666667,Alto
2013-09-22,7233.922619047619,Basso
2013-09-29,6954.011904761905,Basso
2013-10-06,7473.380952380952,Basso
2013-10-13,6928.130952380952,Basso
2013-10-20,7013.0952380952385,Basso
2013-10-27,7368.880952380952,Basso
2013-11-03,7149.365269461078,Basso
2013-11-10,7323.886904761905,Basso
2013-11-17,7661.017857142857,Basso
2013-11-24,7948.339285714285,Alto
2013-12-01,7850.517857142857,Alto
2013-12-08,8107.642857142857,Alto
2013-12-15,8883.005952380952,Alto
2013-12-22,8339.220238095239,Alto
2013-12-29,7612.791666666667,Basso
2014-01-05,8345.875,Alto
2014-01-12,8886.732142857143,Alto
2014-01-19,8482.922619047618,Alto
2014-01-26,9345.505952380952,Alto
2014-02-02,9109.029761904761,Alto
2014-02-09,9100.845238095239,Alto
2014-02-16,9048.077380952382,Alto
2014-02-23,8334.535714285714,Alto
2014-03-02,9038.130952380952,Alto
2014-03-09,8647.97005988024,Alto
2014-03-16,8045.053571428572,Alto
2014-03-23,8036.565476190476,Alto
2014-03-30,8078.815476190476,Alto
2014-04-06,7411.077380952381,Basso
2014-04-13,7187.416666666667,Basso
2014-04-20,7051.416666666667,Basso
2014-04-27,7022.511904761905,Basso
2014-05-04,6999.702380952381,Basso
2014-05-11,7073.952380952381,Basso
2014-05-18,7304.660714285715,Basso
2014-05-25,7035.488095238095,Basso
2014-06-01,7541.351190476191,Basso
2014-06-08,7650.714285714285,Basso
2014-06-15,7501.5952380952385,Basso
2014-06-22,8485.857142857143,Alto
2014-06-29,8804.666666666666,Alto
2014-07-06,8090.5,Alto
2014-07-13,8407.07142857143,Alto
2014-07-20,7758.184523809524,Basso
2014-07-27,8313.357142857143,Alto
2014-08-03,7557.696428571428,Basso
2014-08-10,8155.535714285715,Alto
2014-08-17,7658.267857142857,Basso
2014-08-24,8779.75,Alto
2014-08-31,8603.107142857143,Alto
2014-09-07,8457.309523809523,Alto
2014-09-14,7456.690476190476,Basso
2014-09-21,7106.315476190476,Basso
2014-09-28,7111.041666666667,Basso
2014-10-05,7125.017857142857,Basso
2014-10-12,7069.964285714285,Basso
2014-10-19,7033.696428571428,Basso
2014-10-26,7102.1547619047615,Basso
2014-11-02,7171.278106508876,Basso
2014-11-09,7280.119047619048,Basso
2014-11-16,7758.267857142857,Basso
2014-11-23,8511.297619047618,Alto
2014-11-30,7498.535714285715,Basso
2014-12-07,8257.017857142857,Alto
2014-12-14,8328.80357142857,Alto
2014-12-21,8267.440476190477,Alto
2014-12-28,7181.898809523809,Basso
2015-01-04,7748.148809523809,Basso
2015-01-11,9317.065476190477,Alto
2015-01-18,8726.869047619048,Alto
2015-01-25,8388.55357142857,Alto
2015-02-01,8764.642857142857,Alto
2015-02-08,8576.67857142857,Alto
2015-02-15,8970.791666666666,Alto
2015-02-22,9329.184523809523,Alto
2015-03-01,9180.19642857143,Alto
2015-03-08,8548.958083832335,Alto
2015-03-15,7630.744047619048,Basso
2015-03-22,7612.535714285715,Basso
2015-03-29,7969.535714285715,Alto
2015-04-05,7102.547619047619,Basso
2015-04-12,7037.511904761905,Basso
2015-04-19,6901.208333333333,Basso
2015-04-26,7139.339285714285,Basso
2015-05-03,6879.625,Basso
2015-05-10,7454.142857142857,Basso
2015-05-17,7262.517857142857,Basso
2015-05-24,6993.767857142857,Basso
2015-05-31,7783.166666666667,Basso
2015-06-07,7176.357142857143,Basso
2015-06-14,8213.172619047618,Alto
2015-06-21,8210.345238095239,Alto
2015-06-28,7906.863095238095,Alto
2015-07-05,6976.107142857143,Basso
2015-07-12,7778.875,Basso
2015-07-19,8424.309523809523,Alto
2015-07-26,8606.982142857143,Alto
2015-08-02,9137.511904761905,Alto
2015-08-09,8100.571428571428,Alto
2015-08-16,8476.875,Alto
2015-08-23,8542.434523809523,Alto
2015-08-30,7452.309523809524,Basso
2015-09-06,9103.839285714286,Alto
2015-09-13,7951.089285714285,Alto
2015-09-20,7406.059523809524,Basso
2015-09-27,7121.9047619047615,Basso
2015-10-04,7017.202380952381,Basso
2015-10-11,6822.339285714285,Basso
2015-10-18,6948.898809523809,Basso
2015-10-25,6893.339285714285,Basso
2015-11-01,6972.0236686390535,Basso
2015-11-08,6830.851190476191,Basso
2015-11-15,7176.952380952381,Basso
2015-11-22,7217.065476190476,Basso
2015-11-29,6900.809523809524,Basso
2015-12-06,7645.130952380952,Basso
2015-12-13,7399.892857142857,Basso
2015-12-20,7633.857142857143,Basso
2015-12-27,6764.875,Basso
2016-01-03,7301.190476190476,Basso
2016-01-10,8010.940476190476,Alto
2016-01-17,8403.42857142857,Alto
2016-01-24,8821.297619047618,Alto
2016-01-31,7969.273809523809,Alto
2016-02-07,7636.75,Basso
2016-02-14,8562.797619047618,Alto
2016-02-21,7867.708333333333,Alto
2016-02-28,7764.511904761905,Basso
2016-03-06,7853.744047619048,Alto
2016-03-13,7090.443113772455,Basso
2016-03-20,7117.773809523809,Basso
2016-03-27,6944.940476190476,Basso
2016-04-03,7072.113095238095,Basso
2016-04-10,7560.547619047619,Basso
2016-04-17,7017.267857142857,Basso
2016-04-24,6743.827380952381,Basso
2016-05-01,6788.184523809524,Basso
2016-05-08,6645.398809523809,Basso
2016-05-15,6753.392857142857,Basso
2016-05-22,6685.446428571428,Basso
2016-05-29,7772.238095238095,Basso
2016-06-05,7828.553571428572,Alto
2016-06-12,7542.488095238095,Basso
2016-06-19,7986.392857142857,Alto
2016-06-26,8500.267857142857,Alto
2016-07-03,7681.773809523809,Basso
2016-07-10,8404.119047619048,Alto
2016-07-17,9151.636904761905,Alto
2016-07-24,9468.059523809523,Alto
2016-07-31,9218.619047619048,Alto
2016-08-07,9414.44642857143,Alto
2016-08-14,9627.07142857143,Alto
2016-08-21,9039.565476190477,Alto
2016-08-28,9015.267857142857,Alto
2016-09-04,8073.458333333333,Alto
2016-09-11,8918.761904761905,Alto
2016-09-18,7719.6547619047615,Basso
2016-09-25,8110.809523809524,Alto
2016-10-02,6875.511904761905,Basso
2016-10-09,7007.059523809524,Basso
2016-10-16,6819.755952380952,Basso
2016-10-23,7152.130952380952,Basso
2016-10-30,6979.672619047619,Basso
2016-11-06,6941.266272189349,Basso
2016-11-13,6957.892857142857,Basso
2016-11-20,7272.315476190476,Basso
2016-11-27,7159.619047619048,Basso
2016-12-04,7498.916666666667,Basso
2016-12-11,8305.779761904761,Alto
2016-12-18,8789.559523809523,Alto
2016-12-25,8060.690476190476,Alto
2017-01-01,7309.285714285715,Basso
2017-01-08,8415.220238095239,Alto
2017-01-15,8195.35119047619,Alto
2017-01-22,7604.6547619047615,Basso
2017-01-29,7896.386904761905,Alto
2017-02-05,8218.958333333334,Alto
2017-02-12,7855.434523809524,Alto
2017-02-19,7634.672619047619,Basso
2017-02-26,7115.303571428572,Basso
2017-03-05,7674.0,Basso
2017-03-12,7610.550898203593,Basso
2017-03-19,8194.42857142857,Alto
2017-03-26,7336.494047619048,Basso
2017-04-02,7113.523809523809,Basso
2017-04-09,7082.601190476191,Basso
2017-04-16,6577.291666666667,Basso
2017-04-23,6746.464285714285,Basso
2017-04-30,6767.511904761905,Basso
2017-05-07,6896.005952380952,Basso
2017-05-14,6687.803571428572,Basso
2017-05-21,7303.321428571428,Basso
2017-05-28,6760.5952380952385,Basso
2017-06-04,6915.898809523809,Basso
2017-06-11,7216.422619047619,Basso
2017-06-18,9317.440476190477,Alto
2017-06-25,7875.642857142857,Alto
2017-07-02,7773.589285714285,Basso
2017-07-09,7865.613095238095,Alto
2017-07-16,8542.958333333334,Alto
2017-07-23,9244.095238095239,Alto
2017-07-30,7997.232142857143,Alto
2017-08-06,8255.744047619048,Alto
2017-08-13,7805.315476190476,Alto
2017-08-20,8620.642857142857,Alto
2017-08-27,7786.494047619048,Basso
2017-09-03,7025.238095238095,Basso
2017-09-10,6739.910714285715,Basso
2017-09-17,7213.7202380952385,Basso
2017-09-24,8378.619047619048,Alto
2017-10-01,7711.327380952381,Basso
2017-10-08,7201.107142857143,Basso
2017-10-15,7080.869047619048,Basso
2017-10-22,6748.541666666667,Basso
2017-10-29,6967.380952380952,Basso
2017-11-05,7122.485207100592,Basso
2017-11-12,7335.071428571428,Basso
2017-11-19,7600.142857142857,Basso
2017-11-26,7048.357142857143,Basso
2017-12-03,7402.208333333333,Basso
2017-12-10,7995.375,Alto
2017-12-17,8446.952380952382,Alto
2017-12-24,7693.976190476191,Basso
2017-12-31,8329.261904761905,Alto
2018-01-07,9262.559523809523,Alto
2018-01-14,8260.22619047619,Alto
2018-01-21,8617.297619047618,Alto
2018-01-28,7786.4702380952385,Basso
2018-02-04,8383.815476190477,Alto
2018-02-11,8431.55357142857,Alto
2018-02-18,7840.755952380952,Alto
2018-02-25,7394.910714285715,Basso
2018-03-04,7546.630952380952,Basso
2018-03-11,7859.616766467066,Alto
2018-03-18,7875.107142857143,Alto
2018-03-25,7693.440476190476,Basso
2018-04-01,7137.4047619047615,Basso
2018-04-08,7464.815476190476,Basso
2018-04-15,7170.321428571428,Basso
2018-04-22,7328.505952380952,Basso
2018-04-29,6806.297619047619,Basso
2018-05-06,6901.559523809524,Basso
2018-05-13,6760.434523809524,Basso
2018-05-20,7002.7202380952385,Basso
2018-05-27,7384.696428571428,Basso
2018-06-03,8527.672619047618,Alto
2018-06-10,7231.190476190476,Basso
2018-06-17,8057.708333333333,Alto
2018-06-24,8301.55357142857,Alto
2018-07-01,8729.142857142857,Alto
2018-07-08,8754.607142857143,Alto
2018-07-15,9058.720238095239,Alto
2018-07-22,8519.065476190477,Alto
2018-07-29,8297.011904761905,Alto
2018-08-05,8244.680412371134,Alto
