Datetime,COMED_MW,Consumption
2017-02-19,10319.27380952381,Basso
2017-02-26,10143.815476190477,Basso
2017-03-05,10522.422619047618,Basso
2017-03-12,10440.640718562874,Basso
2017-03-19,10938.720238095239,Basso
2017-03-26,10162.755952380952,Basso
2017-04-02,10064.52380952381,Basso
2017-04-09,9953.089285714286,Basso
2017-04-16,9477.416666666666,Basso
2017-04-23,9486.392857142857,Basso
2017-04-30,9740.279761904761,Basso
2017-05-07,9609.285714285714,Basso
2017-05-14,9554.666666666666,Basso
2017-05-21,10656.232142857143,Basso
2017-05-28,9652.970238095239,Basso
2017-06-04,10602.55357142857,Basso
2017-06-11,11758.19642857143,Alto
2017-06-18,14073.464285714286,Alto
2017-06-25,11658.89880952381,Alto
2017-07-02,11454.80357142857,Alto
2017-07-09,12790.660714285714,Alto
2017-07-16,12757.875,Alto
2017-07-23,13808.458333333334,Alto
2017-07-30,12638.214285714286,Alto
2017-08-06,12262.672619047618,Alto
2017-08-13,11592.863095238095,Alto
2017-08-20,13071.55357142857,Alto
2017-08-27,11426.190476190477,Alto
2017-09-03,10646.470238095239,Basso
2017-09-10,9662.97619047619,Basso
2017-09-17,11323.339285714286,Basso
2017-09-24,13813.64880952381,Alto
2017-10-01,11327.07142857143,Basso
2017-10-08,10578.172619047618,Basso
2017-10-15,9913.059523809523,Basso
2017-10-22,9711.666666666666,Basso
2017-10-29,10012.369047619048,Basso
2017-11-05,10160.508875739644,Basso
2017-11-12,10721.89880952381,Basso
2017-11-19,10777.880952380952,Basso
2017-11-26,10085.529761904761,Basso
2017-12-03,10356.517857142857,Basso
2017-12-10,11303.55357142857,Basso
2017-12-17,11611.035714285714,Alto
2017-12-24,11033.142857142857,Basso
2017-12-31,12282.964285714286,Alto
2018-01-07,13040.863095238095,Alto
2018-01-14,11767.32142857143,Alto
2018-01-21,11865.672619047618,Alto
2018-01-28,10908.690476190477,Basso
2018-02-04,11785.0,Alto
2018-02-11,12169.035714285714,Alto
2018-02-18,11321.744047619048,Basso
2018-02-25,10734.119047619048,Basso
2018-03-04,10317.095238095239,Basso
2018-03-11,10835.964071856288,Basso
2018-03-18,10642.39880952381,Basso
2018-03-25,10485.880952380952,Basso
2018-04-01,9971.05357142857,Basso
2018-04-08,10619.964285714286,Basso
2018-04-15,10273.720238095239,Basso
2018-04-22,10301.041666666666,Basso
2018-04-29,9543.892857142857,Basso
2018-05-06,10164.291666666666,Basso
2018-05-13,9907.875,Basso
2018-05-20,9882.708333333334,Basso
2018-05-27,11612.22619047619,Alto
2018-06-03,12402.541666666666,Alto
2018-06-10,10586.809523809523,Basso
2018-06-17,12683.452380952382,Alto
2018-06-24,12200.619047619048,Alto
2018-07-01,14197.458333333334,Alto
2018-07-08,13430.065476190477,Alto
2018-07-15,14472.357142857143,Alto
2018-07-22,12908.464285714286,Alto
2018-07-29,12427.92857142857,Alto
2018-08-05,12815.649484536083,Alto
